DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-06-18,2020,BY113,70,Tachybaptus ruficollis,0,0
2020-06-18,2020,BY120,70,Tachybaptus ruficollis,0,0
2020-06-18,2020,BY203,70,Tachybaptus ruficollis,0,0
2021-03-13,2021,BY113,70,Tachybaptus ruficollis,0,0
2021-03-13,2021,BY454,70,Tachybaptus ruficollis,2,1
2021-03-15,2021,BY297,70,Tachybaptus ruficollis,1,0
2021-03-21,2021,BY203,70,Tachybaptus ruficollis,0,0
2021-03-21,2021,BY235,70,Tachybaptus ruficollis,0,0
2021-03-21,2021,BY274,70,Tachybaptus ruficollis,0,0
2021-03-21,2021,BY86,70,Tachybaptus ruficollis,0,0
2021-03-24,2021,BY324,70,Tachybaptus ruficollis,3,0
2021-03-28,2021,BY158,70,Tachybaptus ruficollis,1,1
2021-03-28,2021,BY82,70,Tachybaptus ruficollis,0,0
2021-03-30,2021,BY120,70,Tachybaptus ruficollis,0,0
2021-03-30,2021,BY173,70,Tachybaptus ruficollis,0,0
2021-03-31,2021,BY315,70,Tachybaptus ruficollis,0,0
2021-04-04,2021,BY113,70,Tachybaptus ruficollis,0,0
2021-04-11,2021,BY203,70,Tachybaptus ruficollis,0,0
2021-04-11,2021,BY235,70,Tachybaptus ruficollis,0,0
2021-04-15,2021,BY297,70,Tachybaptus ruficollis,4,0
2021-04-18,2021,BY86,70,Tachybaptus ruficollis,1,1
2021-04-20,2021,BY324,70,Tachybaptus ruficollis,0,0
2021-04-23,2021,BY173,70,Tachybaptus ruficollis,0,0
2021-04-24,2021,BY274,70,Tachybaptus ruficollis,0,0
2021-04-24,2021,BY454,70,Tachybaptus ruficollis,1,1
2021-04-25,2021,BY315,70,Tachybaptus ruficollis,0,0
2021-04-25,2021,BY82,70,Tachybaptus ruficollis,0,0
2021-04-27,2021,BY120,70,Tachybaptus ruficollis,0,0
2021-04-27,2021,BY158,70,Tachybaptus ruficollis,1,1
2021-05-04,2021,BY113,70,Tachybaptus ruficollis,0,0
2021-05-08,2021,BY203,70,Tachybaptus ruficollis,0,0
2021-05-08,2021,BY297,70,Tachybaptus ruficollis,0,0
2021-05-09,2021,BY173,70,Tachybaptus ruficollis,0,0
2021-05-09,2021,BY235,70,Tachybaptus ruficollis,0,0
2021-05-09,2021,BY82,70,Tachybaptus ruficollis,0,0
2021-05-14,2021,BY274,70,Tachybaptus ruficollis,0,0
2021-05-14,2021,BY324,70,Tachybaptus ruficollis,0,0
2021-05-16,2021,BY454,70,Tachybaptus ruficollis,4,1
2021-05-16,2021,BY86,70,Tachybaptus ruficollis,2,1
2021-05-21,2021,BY158,70,Tachybaptus ruficollis,1,1
2021-05-24,2021,BY120,70,Tachybaptus ruficollis,0,0
2021-05-24,2021,BY235,70,Tachybaptus ruficollis,1,1
2021-05-30,2021,BY297,70,Tachybaptus ruficollis,0,0
2021-06-01,2021,BY203,70,Tachybaptus ruficollis,0,0
2021-06-03,2021,BY82,70,Tachybaptus ruficollis,0,0
2021-06-04,2021,BY173,70,Tachybaptus ruficollis,0,0
2021-06-10,2021,BY113,70,Tachybaptus ruficollis,0,0
2021-06-11,2021,BY315,70,Tachybaptus ruficollis,0,0
2021-06-11,2021,BY324,70,Tachybaptus ruficollis,0,0
2021-06-12,2021,BY274,70,Tachybaptus ruficollis,0,0
2021-06-13,2021,BY120,70,Tachybaptus ruficollis,0,0
2021-06-13,2021,BY86,70,Tachybaptus ruficollis,1,1
2021-06-15,2021,BY454,70,Tachybaptus ruficollis,2,1
2021-06-16,2021,BY158,70,Tachybaptus ruficollis,2,1
2022-03-11,2022,BY274,70,Tachybaptus ruficollis,0,0
2022-03-12,2022,BY203,70,Tachybaptus ruficollis,0,0
2022-03-13,2022,BY113,70,Tachybaptus ruficollis,0,0
2022-03-13,2022,BY307,70,Tachybaptus ruficollis,0,0
2022-03-13,2022,BY82,70,Tachybaptus ruficollis,1,0
2022-03-19,2022,BY455,70,Tachybaptus ruficollis,1,1
2022-03-20,2022,BY120,70,Tachybaptus ruficollis,0,0
2022-03-20,2022,BY121,70,Tachybaptus ruficollis,0,0
2022-03-20,2022,BY235,70,Tachybaptus ruficollis,0,0
2022-03-20,2022,BY297,70,Tachybaptus ruficollis,0,0
2022-03-21,2022,BY158,70,Tachybaptus ruficollis,2,1
2022-03-21,2022,BY324,70,Tachybaptus ruficollis,0,0
2022-03-21,2022,BY454,70,Tachybaptus ruficollis,3,1
2022-03-22,2022,BY71,70,Tachybaptus ruficollis,0,0
2022-03-25,2022,BY173,70,Tachybaptus ruficollis,0,0
2022-03-26,2022,BY86,70,Tachybaptus ruficollis,2,1
2022-03-29,2022,BY315,70,Tachybaptus ruficollis,0,0
2022-04-09,2022,BY235,70,Tachybaptus ruficollis,0,0
2022-04-10,2022,BY121,70,Tachybaptus ruficollis,0,0
2022-04-11,2022,BY203,70,Tachybaptus ruficollis,0,0
2022-04-12,2022,BY71,70,Tachybaptus ruficollis,0,0
2022-04-13,2022,BY307,70,Tachybaptus ruficollis,1,0
2022-04-15,2022,BY173,70,Tachybaptus ruficollis,1,0
2022-04-16,2022,BY455,70,Tachybaptus ruficollis,5,1
2022-04-17,2022,BY113,70,Tachybaptus ruficollis,1,1
2022-04-19,2022,BY120,70,Tachybaptus ruficollis,0,0
2022-04-20,2022,BY274,70,Tachybaptus ruficollis,0,0
2022-04-20,2022,BY297,70,Tachybaptus ruficollis,4,0
2022-04-20,2022,BY82,70,Tachybaptus ruficollis,0,0
2022-04-24,2022,BY454,70,Tachybaptus ruficollis,1,1
2022-04-29,2022,BY158,70,Tachybaptus ruficollis,1,1
2022-04-30,2022,BY315,70,Tachybaptus ruficollis,0,0
2022-05-02,2022,BY86,70,Tachybaptus ruficollis,1,1
2022-05-05,2022,BY113,70,Tachybaptus ruficollis,1,1
2022-05-08,2022,BY235,70,Tachybaptus ruficollis,0,0
2022-05-10,2022,BY307,70,Tachybaptus ruficollis,0,0
2022-05-12,2022,BY173,70,Tachybaptus ruficollis,0,0
2022-05-12,2022,BY203,70,Tachybaptus ruficollis,0,0
2022-05-12,2022,BY454,70,Tachybaptus ruficollis,3,1
2022-05-13,2022,BY71,70,Tachybaptus ruficollis,0,0
2022-05-14,2022,BY82,70,Tachybaptus ruficollis,0,0
2022-05-14,2022,BY86,70,Tachybaptus ruficollis,1,1
2022-05-15,2022,BY120,70,Tachybaptus ruficollis,0,0
2022-05-15,2022,BY121,70,Tachybaptus ruficollis,0,0
2022-05-16,2022,BY158,70,Tachybaptus ruficollis,0,0
2022-05-19,2022,BY315,70,Tachybaptus ruficollis,0,0
2022-05-20,2022,BY274,70,Tachybaptus ruficollis,0,0
2022-05-22,2022,BY235,70,Tachybaptus ruficollis,0,0
2022-05-28,2022,BY307,70,Tachybaptus ruficollis,0,0
2022-05-31,2022,BY297,70,Tachybaptus ruficollis,0,0
2022-06-03,2022,BY71,70,Tachybaptus ruficollis,1,0
2022-06-05,2022,BY121,70,Tachybaptus ruficollis,0,0
2022-06-11,2022,BY113,70,Tachybaptus ruficollis,1,1
2022-06-11,2022,BY454,70,Tachybaptus ruficollis,3,1
2022-06-12,2022,BY120,70,Tachybaptus ruficollis,0,0
2022-06-12,2022,BY82,70,Tachybaptus ruficollis,0,0
2022-06-12,2022,BY86,70,Tachybaptus ruficollis,2,1
2022-06-13,2022,BY173,70,Tachybaptus ruficollis,0,0
2022-06-14,2022,BY297,70,Tachybaptus ruficollis,0,0
2022-06-15,2022,BY158,70,Tachybaptus ruficollis,1,1
2022-06-15,2022,BY455,70,Tachybaptus ruficollis,1,1
2022-06-19,2022,BY203,70,Tachybaptus ruficollis,0,0
2022-06-20,2022,BY274,70,Tachybaptus ruficollis,0,0
2022-06-20,2022,BY315,70,Tachybaptus ruficollis,0,0
2023-03-15,2023,BY173,70,Tachybaptus ruficollis,0,0
2023-03-16,2023,BY274,70,Tachybaptus ruficollis,3,0
2023-03-17,2023,BY307,70,Tachybaptus ruficollis,0,0
2023-03-18,2023,BY120,70,Tachybaptus ruficollis,0,0
2023-03-18,2023,BY203,70,Tachybaptus ruficollis,0,0
2023-03-18,2023,BY235,70,Tachybaptus ruficollis,0,0
2023-03-19,2023,BY121,70,Tachybaptus ruficollis,0,0
2023-03-19,2023,BY82,70,Tachybaptus ruficollis,0,0
2023-03-21,2023,BY454,70,Tachybaptus ruficollis,4,2
2023-03-23,2023,BY297,70,Tachybaptus ruficollis,2,0
2023-03-23,2023,BY455,70,Tachybaptus ruficollis,2,3
2023-03-23,2023,BY71,70,Tachybaptus ruficollis,0,0
2023-03-23,2023,BY86,70,Tachybaptus ruficollis,1,1
2023-03-26,2023,BY113,70,Tachybaptus ruficollis,0,0
2023-03-31,2023,BY315,70,Tachybaptus ruficollis,0,0
2023-04-01,2023,BY275,70,Tachybaptus ruficollis,2,1
2023-04-04,2023,BY235,70,Tachybaptus ruficollis,0,0
2023-04-04,2023,BY274,70,Tachybaptus ruficollis,0,0
2023-04-07,2023,BY297,70,Tachybaptus ruficollis,0,0
2023-04-09,2023,BY121,70,Tachybaptus ruficollis,0,0
2023-04-10,2023,BY113,70,Tachybaptus ruficollis,3,1
2023-04-10,2023,BY203,70,Tachybaptus ruficollis,0,0
2023-04-10,2023,BY82,70,Tachybaptus ruficollis,0,0
2023-04-15,2023,BY275,70,Tachybaptus ruficollis,1,1
2023-04-17,2023,BY307,70,Tachybaptus ruficollis,0,0
2023-04-18,2023,BY71,70,Tachybaptus ruficollis,2,1
2023-04-19,2023,BY173,70,Tachybaptus ruficollis,0,0
2023-04-21,2023,BY454,70,Tachybaptus ruficollis,4,2
2023-04-21,2023,BY86,70,Tachybaptus ruficollis,2,1
2023-04-22,2023,BY120,70,Tachybaptus ruficollis,0,0
2023-04-27,2023,BY455,70,Tachybaptus ruficollis,4,3
2023-04-30,2023,BY315,70,Tachybaptus ruficollis,0,0
2023-05-01,2023,BY82,70,Tachybaptus ruficollis,0,0
2023-05-04,2023,BY113,70,Tachybaptus ruficollis,1,1
2023-05-06,2023,BY275,70,Tachybaptus ruficollis,0,0
2023-05-07,2023,BY297,70,Tachybaptus ruficollis,0,0
2023-05-12,2023,BY307,70,Tachybaptus ruficollis,0,0
2023-05-13,2023,BY235,70,Tachybaptus ruficollis,0,0
2023-05-13,2023,BY455,70,Tachybaptus ruficollis,2,3
2023-05-14,2023,BY121,70,Tachybaptus ruficollis,0,0
2023-05-14,2023,BY86,70,Tachybaptus ruficollis,1,1
2023-05-15,2023,BY274,70,Tachybaptus ruficollis,0,0
2023-05-17,2023,BY173,70,Tachybaptus ruficollis,0,0
2023-05-17,2023,BY71,70,Tachybaptus ruficollis,1,1
2023-05-19,2023,BY454,70,Tachybaptus ruficollis,4,2
2023-05-20,2023,BY120,70,Tachybaptus ruficollis,0,0
2023-05-20,2023,BY275,70,Tachybaptus ruficollis,2,1
2023-05-20,2023,BY315,70,Tachybaptus ruficollis,0,0
2023-05-21,2023,BY235,70,Tachybaptus ruficollis,0,0
2023-05-26,2023,BY307,70,Tachybaptus ruficollis,0,0
2023-05-31,2023,BY455,70,Tachybaptus ruficollis,4,3
2023-06-01,2023,BY203,70,Tachybaptus ruficollis,1,0
2023-06-03,2023,BY121,70,Tachybaptus ruficollis,0,0
2023-06-07,2023,BY173,70,Tachybaptus ruficollis,0,0
2023-06-07,2023,BY297,70,Tachybaptus ruficollis,0,0
2023-06-07,2023,BY454,70,Tachybaptus ruficollis,5,2
2023-06-08,2023,BY82,70,Tachybaptus ruficollis,0,0
2023-06-09,2023,BY274,70,Tachybaptus ruficollis,0,0
2023-06-11,2023,BY113,70,Tachybaptus ruficollis,0,0
2023-06-11,2023,BY120,70,Tachybaptus ruficollis,1,0
2023-06-14,2023,BY71,70,Tachybaptus ruficollis,0,0
2023-06-18,2023,BY86,70,Tachybaptus ruficollis,1,1
2023-06-20,2023,BY315,70,Tachybaptus ruficollis,0,0
2024-03-10,2024,BY121,70,Tachybaptus ruficollis,3,0
2024-03-14,2024,BY454,70,Tachybaptus ruficollis,6,1
2024-03-15,2024,BY274,70,Tachybaptus ruficollis,0,0
2024-03-17,2024,BY113,70,Tachybaptus ruficollis,0,0
2024-03-17,2024,BY235,70,Tachybaptus ruficollis,0,0
2024-03-17,2024,BY307,70,Tachybaptus ruficollis,0,0
2024-03-17,2024,BY82,70,Tachybaptus ruficollis,0,0
2024-03-20,2024,BY173,70,Tachybaptus ruficollis,0,0
2024-03-20,2024,BY71,70,Tachybaptus ruficollis,0,0
2024-03-22,2024,BY86,70,Tachybaptus ruficollis,0,0
2024-03-26,2024,BY455,70,Tachybaptus ruficollis,0,0
2024-03-29,2024,BY275,70,Tachybaptus ruficollis,0,0
2024-03-29,2024,BY297,70,Tachybaptus ruficollis,0,0
2024-03-30,2024,BY120,70,Tachybaptus ruficollis,0,0
2024-03-30,2024,BY315,70,Tachybaptus ruficollis,0,0
2024-04-05,2024,BY454,70,Tachybaptus ruficollis,3,1
2024-04-06,2024,BY113,70,Tachybaptus ruficollis,2,2
2024-04-07,2024,BY235,70,Tachybaptus ruficollis,0,0
2024-04-07,2024,BY82,70,Tachybaptus ruficollis,0,0
2024-04-08,2024,BY274,70,Tachybaptus ruficollis,0,0
2024-04-09,2024,BY173,70,Tachybaptus ruficollis,0,0
2024-04-12,2024,BY297,70,Tachybaptus ruficollis,0,0
2024-04-13,2024,BY275,70,Tachybaptus ruficollis,0,0
2024-04-13,2024,BY307,70,Tachybaptus ruficollis,0,0
2024-04-13,2024,BY455,70,Tachybaptus ruficollis,2,3
2024-04-15,2024,BY71,70,Tachybaptus ruficollis,2,2
2024-04-21,2024,BY120,70,Tachybaptus ruficollis,0,0
2024-04-22,2024,BY86,70,Tachybaptus ruficollis,1,1
2024-04-24,2024,BY121,70,Tachybaptus ruficollis,0,0
2024-04-28,2024,BY315,70,Tachybaptus ruficollis,0,0
2024-05-01,2024,BY275,70,Tachybaptus ruficollis,0,0
2024-05-01,2024,BY82,70,Tachybaptus ruficollis,0,0
2024-05-04,2024,BY113,70,Tachybaptus ruficollis,4,2
2024-05-04,2024,BY235,70,Tachybaptus ruficollis,0,0
2024-05-04,2024,BY307,70,Tachybaptus ruficollis,0,0
2024-05-06,2024,BY454,70,Tachybaptus ruficollis,3,1
2024-05-08,2024,BY173,70,Tachybaptus ruficollis,0,0
2024-05-11,2024,BY455,70,Tachybaptus ruficollis,4,3
2024-05-12,2024,BY121,70,Tachybaptus ruficollis,0,0
2024-05-14,2024,BY86,70,Tachybaptus ruficollis,0,0
2024-05-15,2024,BY71,70,Tachybaptus ruficollis,1,2
2024-05-16,2024,BY297,70,Tachybaptus ruficollis,2,0
2024-05-20,2024,BY120,70,Tachybaptus ruficollis,0,0
2024-05-20,2024,BY315,70,Tachybaptus ruficollis,0,0
2024-05-21,2024,BY274,70,Tachybaptus ruficollis,0,0
2024-05-26,2024,BY235,70,Tachybaptus ruficollis,0,0
2024-05-26,2024,BY275,70,Tachybaptus ruficollis,2,1
2024-05-27,2024,BY454,70,Tachybaptus ruficollis,3,1
2024-06-04,2024,BY173,70,Tachybaptus ruficollis,0,0
2024-06-05,2024,BY274,70,Tachybaptus ruficollis,0,0
2024-06-07,2024,BY121,70,Tachybaptus ruficollis,0,0
2024-06-08,2024,BY455,70,Tachybaptus ruficollis,1,3
2024-06-09,2024,BY120,70,Tachybaptus ruficollis,0,0
2024-06-09,2024,BY307,70,Tachybaptus ruficollis,0,0
2024-06-11,2024,BY113,70,Tachybaptus ruficollis,1,2
2024-06-13,2024,BY71,70,Tachybaptus ruficollis,2,2
2024-06-16,2024,BY315,70,Tachybaptus ruficollis,1,0
2024-06-16,2024,BY82,70,Tachybaptus ruficollis,0,0
2024-06-16,2024,BY86,70,Tachybaptus ruficollis,1,1
2024-06-17,2024,BY297,70,Tachybaptus ruficollis,0,0
